timestamp,trial_id,model,seed,scenario,repeat,outcome,min_clearance_m,note,decision,bag_path,git_commit
2026-08-17 23:30:42,v11_s777_scen2_rep1_20260817_232804,v11,777,2,1,timeout,0.429,session 2026-08-17 23:28,saved,/mnt/ssd/pvstam_trials/keep/v11_s777_scen2_rep1_20260817_232804,cb894b9
2026-08-17 23:32:20,v11_s777_scen2_rep2_20260817_233143,v11,777,2,2,goal,0.432,session 2026-08-17 23:31,saved,/mnt/ssd/pvstam_trials/keep/v11_s777_scen2_rep2_20260817_233143,cb894b9
2026-08-17 23:34:18,v11_s777_scen2_rep3_20260817_233301,v11,777,2,3,goal,0.424,session 2026-08-17 23:32,saved,/mnt/ssd/pvstam_trials/keep/v11_s777_scen2_rep3_20260817_233301,cb894b9
2026-08-17 23:35:33,v11_s777_scen2_rep4_20260817_233452,v11,777,2,4,goal,0.467,session 2026-08-17 23:34,saved,/mnt/ssd/pvstam_trials/keep/v11_s777_scen2_rep4_20260817_233452,cb894b9
2026-08-17 23:37:12,v11_s777_scen2_rep5_20260817_233619,v11,777,2,5,goal,0.386,session 2026-08-17 23:36,saved,/mnt/ssd/pvstam_trials/keep/v11_s777_scen2_rep5_20260817_233619,cb894b9
2026-08-17 23:38:51,v11_s777_scen2_rep6_20260817_233755,v11,777,2,6,goal,0.400,session 2026-08-17 23:37,saved,/mnt/ssd/pvstam_trials/keep/v11_s777_scen2_rep6_20260817_233755,cb894b9
2026-08-17 23:41:28,v11_s777_scen2_rep7_20260817_233928,v11,777,2,7,goal,0.393,session 2026-08-17 23:39,saved,/mnt/ssd/pvstam_trials/keep/v11_s777_scen2_rep7_20260817_233928,cb894b9
2026-08-17 23:44:40,v11_s777_scen2_rep8_20260817_234340,v11,777,2,8,goal,0.479,session 2026-08-17 23:43,saved,/mnt/ssd/pvstam_trials/keep/v11_s777_scen2_rep8_20260817_234340,cb894b9
2026-08-17 23:46:11,v11_s777_scen2_rep9_20260817_234510,v11,777,2,9,goal,0.393,session 2026-08-17 23:45,saved,/mnt/ssd/pvstam_trials/keep/v11_s777_scen2_rep9_20260817_234510,cb894b9
2026-08-17 23:48:16,v11_s777_scen2_rep10_20260817_234713,v11,777,2,10,goal,0.421,session 2026-08-17 23:47,saved,/mnt/ssd/pvstam_trials/keep/v11_s777_scen2_rep10_20260817_234713,cb894b9
2026-08-17 23:57:09,v8_s777_scen2_rep1_20260817_235519,v8,777,2,1,goal,0.264,session 2026-08-17 23:55,saved,/mnt/ssd/pvstam_trials/keep/v8_s777_scen2_rep1_20260817_235519,cb894b9
2026-08-18 00:00:17,v8_s777_scen2_rep2_20260817_235740,v8,777,2,2,timeout,0.429,session 2026-08-17 23:57,saved,/mnt/ssd/pvstam_trials/keep/v8_s777_scen2_rep2_20260817_235740,cb894b9
2026-08-18 01:01:18,v8_s777_scen2_rep3_20260818_005841,v8,777,2,3,timeout,0.386,session 2026-08-18 00:58,saved,/mnt/ssd/pvstam_trials/keep/v8_s777_scen2_rep3_20260818_005841,cb894b9
